file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0190_0163_1414532_to_1416851,ཐོ་བ་ཡིས་བྲུས་བཞག་དགོས་རེད་ལབ་སོང་ཡོད་བ། ཨ་ནས།  ,tho ba yis brus bzhag dgos red lab song yod ba/_a nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0190_0163_1414532_to_1416851.wav,STT_NS,3,48,2.319,wav16k/STT_NS_M0190_0163_1414532_to_1416851.wav,ཕ་མ་ཡིས་བྲུས་བཞག་དགོས་རེད་ལབ་སོང་ཡོད་བ། ཨེ་ནས།
STT_NS_M0194_0481_3647655_to_3650162,ད་སོ་སོ་མར་རང་འཇགས་སླེབས་དུས་ཙམ་པ་ལ་མི་ལོགས་ཀ་འདྲ་བོ་ཞིག ,da so so mar rang 'jags slebs dus tsam pa la mi logs ka 'dra bo zhig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0194_0481_3647655_to_3650162.wav,STT_NS,3,57,2.507,wav16k/STT_NS_M0194_0481_3647655_to_3650162.wav,ད་སོ་སོ་མར་རང་འཇགས་སླེབས་དུས་ཙམ་པ་ལ་མི་ལོགས་ཀ་འདྲ་བོ་ཅིག
STT_NS_M0200_0616_4211069_to_4214494,གལ་སྲིད་ཆུ་དེ་ང་རང་ཚོ་ཡིས་རྫོར་པོ་བཟོས་བ་ཡིན་ན་མཐའ་མའི་ཐག་གཅོད་དེ་ལ།  ,gal srid chu de nga rang tsho yis rdzor po bzos ba yin na mtha' ma'i thag gcod de la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0200_0616_4211069_to_4214494.wav,STT_NS,3,70,3.425,wav16k/STT_NS_M0200_0616_4211069_to_4214494.wav,གལ་སྲིད་ཆུ་དེ་ང་རང་ཚོ་ཡིས་ཛོར་བོ་བཟོས་བ་ཡིན་ན་མཐའ་མའི་ཐག་གཅོད་དེ་ལ།
STT_NS_M0320_0158_1008069_to_1011390,མི་རིགས་ནག་པོ་ཀྲུགསེ་ལབ་ཡ་དེ་ལ་ག་བ་ལ་ད་བསྡད་བཅུག་གི་རེད་ལབ་ན།  ,mi rigs nag po krugase lab ya de la ga ba la da bsdad bcug gi red lab na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0320_0158_1008069_to_1011390.wav,STT_NS,3,63,3.321,wav16k/STT_NS_M0320_0158_1008069_to_1011390.wav,མི་རིགས་ནག་པོ་ཁརུའ་སྀ་ལབ་ཡ་དེ་ལ་ག་བ་ལ་ད་བསྡད་བཅུག་གི་རེད་ལབ་ན།
STT_NS_M0329_0377_2123609_to_2126066,ཨེ་ནས་ཨོ་དེ་ད་ལ་དྭགས་ད་ཨེ་འདྲའི་བརྩིས་ན་ད་མི་འདུག་བེ་ཨེ་འདྲའི།  ,e nas o de da la dwags da e 'dra'i brtsis na da mi 'dug be e 'dra'i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0329_0377_2123609_to_2126066.wav,STT_NS,3,64,2.457,wav16k/STT_NS_M0329_0377_2123609_to_2126066.wav,ཨེ་ནས་ཨོ་འདི་ད་ལ་དྭགས་ད་ཨེ་འདྲའི་བརྩིས་ན་ད་མི་འདུག་བེ་ཨེ་འདྲའི།
STT_NS_M0200_0741_5073011_to_5082381,འོ་ཡིན་ཙང་ད་མི་དེ་ཚོ་གིས་ག་རེ་བྱེད་ཀི་ཡོད་རེད་ལབ་ན། འགྱིག་ཤོག་དེ་གད་སྣོད་ནང་ལོགས་ལ་འགྲོ་བ་ཡིན་ན་ཡང་། གད་སྣོད་ནང་ལོགས་ནས་འགྱིག་ཤོག་དེ་ཚོ་དབྱེ་བ་ཕྱེ་རཱ།  ,'o yin tsang da mi de tsho gis ga re byed ki yod red lab na/_'gyig shog de gad snod nang logs la 'gro ba yin na yang /_gad snod nang logs nas 'gyig shog de tsho dbye ba phye rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0200_0741_5073011_to_5082381.wav,STT_NS,3,152,9.37,wav16k/STT_NS_M0200_0741_5073011_to_5082381.wav,ཨོ་ཙང་ད་མི་དེ་ཚོ་ཡིས་ག་རེ་བྱེད་ཀི་ཡོད་རེད་ལབ་ན། འགྱིག་ཤོག་དེ་གད་སྣོད་ནང་ལོགས་ལ་འགྲོ་བ་ཡིན་ན་ཡང་། གད་སྣོད་ནང་ལོགས་ནས་འགྱིག་ཤོག་དེ་ཚོ་དབྱེ་བ་ཕྱེ་རཱ།
STT_NS_M0200_0792_5408143_to_5411301,ཨེ་ནས་འོ་ཡིན་ཙང་ཡོད་བ་ད་སོ་སོ་ལ་དངུལ་མེད་པ་ཡིན་ན་ཡང་སོ་སོ་གིས་ ,e nas 'o yin tsang yod ba da so so la dngul med pa yin na yang so so gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0200_0792_5408143_to_5411301.wav,STT_NS,3,63,3.158,wav16k/STT_NS_M0200_0792_5408143_to_5411301.wav,ཨེ་ནས་ཨོ་ཡིན་ཙང་ཡོད་བ་ད་སོ་སོ་ལ་དངུལ་མེད་བ་ཡིན་ན་ཡང་སོ་སོ་གིས་
STT_NS_M0199_0677_4875998_to_4879650,ཁོར་ཡུག་དེ་ལ་ཡང་ད་ང་ཚོ་གིས་སྲུང་སྐྱོབ་བྱེད་ཡ་དེ་གལ་ཆེན་པོ་ཅིག་རེད་ཤག་རཱ།  ,khor yug de la yang da nga tsho gis srung skyob byed ya de gal chen po cig red shag rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0199_0677_4875998_to_4879650.wav,STT_NS,3,74,3.652,wav16k/STT_NS_M0199_0677_4875998_to_4879650.wav,ཁོར་ཡུག་འདེ་ལ་ཡང་ད་ང་ཚོ་གིས་སྲུང་སྐྱོབ་བྱེད་ཡ་དེ་གལ་ཆེན་པོ་ཅིག་རེད་ཤག་རཱ།
STT_NS_M0192_0370_3400912_to_3406015,ཁོར་ཡུག་གང་ཚང་ལོ་མས་ཁེངས་བསྡད་རྒྱོ་དང་གད་སྙིགས་ཁེངས་བསྡད་རྒྱོ་ཡིན་ན། སོ་སོ་ཡང་ད་འགྲོ་ཡ་ཉོབ་ཡ་ཅིག་ཡོད་བ།  ,khor yug gang tshang lo mas khengs bsdad rgyo dang gad snyigs khengs bsdad rgyo yin na/_so so yang da 'gro ya nyob ya cig yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0192_0370_3400912_to_3406015.wav,STT_NS,3,105,5.103,wav16k/STT_NS_M0192_0370_3400912_to_3406015.wav,ཁོར་ཡུག་གང་ཚང་ལོ་མ་ཁེངས་བསྡད་རྒྱོ་དང་། གད་སྙིགས་ཁེངས་བསྡད་རྒྱོ་ཡིན་ན། སོ་སོ་ཡང་ད་འགྲོ་ཡ་ཉོབ་ཡ་ཅིག་ཡོད་བ།
STT_NS_M0194_0067_460814_to_466665,ཨེ་ནས་གཞན་པ་ང་ག་རེ་ལབ་དགོས་རེད། བྷེལ་ཀོབ་ལ་དྲན་པ་འདྲ་བོ་ལབ་ན་འདི་དྲན་པ་འདུག ག་རེ་ཟ།  ,e nas gzhan pa nga ga re lab dgos red/_b+hel kob la dran pa 'dra bo lab na 'di dran pa 'dug_ga re za/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0194_0067_460814_to_466665.wav,STT_NS,3,85,5.851,wav16k/STT_NS_M0194_0067_460814_to_466665.wav,ཨེ་ནས་གཞན་པ་ང་ག་རེ་ལབ་དགོས་རེད། བྷེལ་ཀོབ་ལ་དྲན་པ་འདྲ་བོ་ལབ་ན་འདི་དྲན་པ་འདུག་ག་རེ་ཟ།
